         N      naive       better       dotmull        matmull
          20   8.69750977E-04   7.62939453E-04   4.57763672E-04   4.73022461E-04
          40   3.90625000E-03   5.21850586E-03   3.90625000E-03   3.58581543E-03
          80   3.24554443E-02   3.39202881E-02   4.06036377E-02   2.66113281E-02
         160  0.363296509      0.382446289      0.299606323      0.218856812    
         320   2.88320923       2.66908264       2.52430725       1.66123962    
         640   23.3300629       24.3264160       20.8459778       13.4463196    
        1280   286.471344       333.102661       271.209106       104.840698    
