        N      naive     better       dotmull        matmull
          20   1.59000047E-04   1.54999783E-04   5.10001555E-05   7.09998421E-05
          40   1.19300000E-03   1.23699987E-03   3.80999874E-04   6.80000521E-05
          80   5.88700036E-03   5.90699911E-03   8.66999850E-04   9.79993492E-05
         160   2.46889982E-02   2.45030038E-02   6.42599910E-03   3.99000943E-04
         320  0.192974985      0.203942001       5.43169975E-02   2.58195400E-03
         640   2.19201088       3.34093595      0.733198166       1.86772346E-02
        1280   22.3389301       31.3641529       10.2107849      0.223823547    
